iter	F1	Logloss
0	0.7296849088	0.6414881809
1	0.7305194805	0.5961993132
2	0.7332242226	0.5568910977
3	0.7328990228	0.5223424476
4	0.7293354943	0.4935510237
5	0.7347611203	0.4661984197
6	0.7347611203	0.443245465
7	0.7323481117	0.4213200803
8	0.731147541	0.4023934868
9	0.7287581699	0.3876335071
10	0.7401032702	0.3783589171
11	0.75	0.3629047679
12	0.7491289199	0.3528499519
13	0.7478559177	0.3441030193
14	0.7491408935	0.3337705681
15	0.7551724138	0.3265540042
16	0.7460035524	0.3226467068
17	0.7469026549	0.3166609726
18	0.7545126354	0.31031721
19	0.7482014388	0.3056071932
20	0.752688172	0.3010686874
21	0.7508896797	0.2964221667
22	0.7540394973	0.2924491736
23	0.7589928058	0.2896269645
24	0.7563636364	0.2867144953
25	0.7650273224	0.283093729
26	0.7678571429	0.2797955172
27	0.7709090909	0.2770284053
28	0.7783783784	0.2733782311
29	0.7783783784	0.2702704449
30	0.780399274	0.2683057209
31	0.7743119266	0.2667529446
32	0.7861060329	0.2648206247
33	0.7822878229	0.2630555447
34	0.7838827839	0.2611279172
35	0.7905282332	0.2588912891
36	0.7934186472	0.25769976
37	0.7905282332	0.256126264
38	0.7912087912	0.2552310897
39	0.7912087912	0.2542893486
40	0.7926605505	0.252693139
41	0.7918968692	0.2514113807
42	0.7970479705	0.2497999114
43	0.7992633517	0.2482090636
44	0.7970479705	0.2469137769
45	0.7955801105	0.2460553989
46	0.7992633517	0.2449826481
47	0.7992633517	0.2441016336
48	0.7985212569	0.2435011498
49	0.7948243993	0.2423930207
50	0.7985212569	0.2410452329
51	0.7985212569	0.2401530176
52	0.8022181146	0.2388386851
53	0.8037037037	0.238179505
54	0.8037037037	0.2372990682
55	0.8037037037	0.2365254251
56	0.8120300752	0.2348217374
57	0.8097928437	0.2346420154
58	0.8074766355	0.2338537521
59	0.8082706767	0.2318363869
60	0.8113207547	0.2312922111
61	0.8097928437	0.2307686138
62	0.8082706767	0.2297070576
63	0.8037735849	0.228552894
64	0.8082706767	0.2281610238
65	0.8037735849	0.2266035263
66	0.8105065666	0.2254591242
67	0.813559322	0.2249482151
68	0.809073724	0.2239492944
69	0.8106060606	0.2234264273
70	0.8136882129	0.2224206267
71	0.8121442125	0.2209575363
72	0.8150943396	0.2198408743
73	0.813559322	0.2191151564
74	0.8150943396	0.2185838489
75	0.8150943396	0.2181918386
76	0.8181818182	0.2175861509
77	0.8166351607	0.2173858173
78	0.813559322	0.2168585586
79	0.8150943396	0.2164991904
80	0.8181818182	0.2158431236
81	0.8197343454	0.2153678328
82	0.8197343454	0.2144695143
83	0.8181818182	0.2134645717
84	0.8197343454	0.213089802
85	0.8212927757	0.2126033189
86	0.8174904943	0.2119738503
87	0.819047619	0.2111181952
88	0.8159392789	0.2105538
89	0.8181818182	0.21026017
90	0.8197343454	0.2100742621
91	0.8174904943	0.2093937005
92	0.819047619	0.2085271181
93	0.8174904943	0.2074748526
94	0.820610687	0.2071048449
95	0.820610687	0.2069486374
96	0.8183556405	0.2057094996
97	0.8199233716	0.2048570622
98	0.8199233716	0.2044007512
99	0.8183556405	0.203909155
100	0.820610687	0.2033117687
101	0.8221797323	0.202539928
102	0.8221797323	0.2016617321
103	0.8237547893	0.2010546159
104	0.8237547893	0.2002688155
105	0.8237547893	0.1999102001
106	0.8237547893	0.199555624
107	0.8237547893	0.1991683231
108	0.8237547893	0.1986905424
109	0.8237547893	0.1982165436
110	0.8244274809	0.1975560383
111	0.8244274809	0.1973058218
112	0.8221797323	0.1966049882
113	0.8244274809	0.1959205589
114	0.8282442748	0.194794433
115	0.8320610687	0.194394808
116	0.8314176245	0.1937858263
117	0.8314176245	0.1934716732
118	0.8314176245	0.193201233
119	0.8336520076	0.1927668527
120	0.8304761905	0.1909910196
121	0.8304761905	0.1906738719
122	0.8304761905	0.1902494684
123	0.8304761905	0.1895134909
124	0.8352490421	0.1887502188
125	0.8352490421	0.1877571291
126	0.8352490421	0.1874037417
127	0.8352490421	0.1871304547
128	0.8336520076	0.1864179728
129	0.8368522073	0.1856362624
130	0.8390804598	0.1848591886
131	0.8390804598	0.1844686735
132	0.8396946565	0.1839655945
133	0.8396946565	0.1836353744
134	0.8380952381	0.1831735639
135	0.8380952381	0.1826856204
136	0.8380952381	0.182098238
137	0.8380952381	0.1816921723
138	0.8380952381	0.181208354
139	0.8396946565	0.1806751918
140	0.8396946565	0.1805237681
141	0.8396946565	0.1803138755
142	0.8396946565	0.1798987867
143	0.8396946565	0.1792218017
144	0.8396946565	0.1786451599
145	0.8396946565	0.1784884526
146	0.8396946565	0.1776623072
147	0.8419047619	0.1771573961
148	0.8419047619	0.1768165534
149	0.8441064639	0.1759051428
