iter	Passed	Remaining
0	3	459
1	5	425
2	8	405
3	11	410
4	13	401
5	16	393
6	18	387
7	21	381
8	24	381
9	26	376
10	29	371
11	31	367
12	34	363
13	37	362
14	39	359
15	42	354
16	44	347
17	46	342
18	48	335
19	51	332
20	53	330
21	56	327
22	58	325
23	61	322
24	64	321
25	66	318
26	69	315
27	71	312
28	74	309
29	76	307
30	79	304
31	81	302
32	84	300
33	87	299
34	90	296
35	92	293
36	95	291
37	98	291
38	101	290
39	104	287
40	107	285
41	109	282
42	112	280
43	115	278
44	118	276
45	121	274
46	123	271
47	126	268
48	129	266
49	131	263
50	134	261
51	136	258
52	139	255
53	141	252
54	144	249
55	147	247
56	150	245
57	152	242
58	155	239
59	157	236
60	160	234
61	163	231
62	166	229
63	168	226
64	171	224
65	174	221
66	177	219
67	179	216
68	182	214
69	185	211
70	188	209
71	191	207
72	194	204
73	196	202
74	199	199
75	201	196
76	204	194
77	207	191
78	210	189
79	213	186
80	215	183
81	218	180
82	220	177
83	222	175
84	225	172
85	227	169
86	230	166
87	232	163
88	234	160
89	237	158
90	240	155
91	242	152
92	245	150
93	247	147
94	250	144
95	252	141
96	254	139
97	257	136
98	259	133
99	261	130
100	263	127
101	265	125
102	267	122
103	270	119
104	272	116
105	274	114
106	277	111
107	279	108
108	282	106
109	284	103
110	286	100
111	289	98
112	291	95
113	294	93
114	297	90
115	299	87
116	301	85
117	304	82
118	306	79
119	308	77
120	310	74
121	312	71
122	314	69
123	317	66
124	319	63
125	321	61
126	323	58
127	325	56
128	328	53
129	330	50
130	333	48
131	335	45
132	337	43
133	340	40
134	342	38
135	344	35
136	347	32
137	350	30
138	353	27
139	355	25
140	358	22
141	361	20
142	363	17
143	366	15
144	368	12
145	371	10
146	373	7
147	376	5
148	378	2
149	381	0
